,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
7581,9836673,8031057,Entire home/apt,,Miseric�rdia,6,4.5,4,2.0,1.0,74.0,2.0,38.714656,-9.152041,2016-06-02 17:48:46.009330
7582,9837003,14574342,Private room,,Beato,18,4.5,2,1.0,2.0,24.0,1.0,38.737669,-9.125444,2016-06-02 16:47:22.184586
7583,9837638,4647743,Entire home/apt,,S�o Vicente,18,4.5,4,1.0,1.0,30.0,2.0,38.720867,-9.129774,2016-06-02 17:29:18.792969
7584,9839569,30194472,Entire home/apt,,S�o Vicente,14,4.5,6,2.0,1.0,44.0,3.0,38.714155,-9.127662,2016-06-02 17:47:45.156139
7585,9840995,49556010,Entire home/apt,,Estrela,2,,4,1.0,,57.0,2.0,38.709242,-9.156276,2016-06-02 14:09:24.757173
7586,9841497,6442592,Private room,,Estrela,0,,2,1.0,1.0,43.0,2.0,38.708569,-9.157838,2016-06-02 10:15:40.146212
7587,9842609,27998030,Entire home/apt,,Santa Maria Maior,34,4.5,5,1.0,1.0,64.0,1.0,38.710659,-9.129059,2016-06-02 17:32:12.481727
7588,9842790,46487854,Private room,,Miseric�rdia,12,4.5,2,1.0,2.0,26.0,2.0,38.707591,-9.142366,2016-06-02 12:33:30.583662
7589,9851457,30056520,Entire home/apt,,Santa Maria Maior,17,4.5,2,1.0,1.0,63.0,3.0,38.711732,-9.129549,2016-06-02 16:10:27.070399
7590,9852480,5083070,Entire home/apt,,Miseric�rdia,1,,4,2.0,1.0,98.0,3.0,38.715303,-9.150548,2016-06-02 14:56:54.190437
7591,9852632,7926176,Entire home/apt,,Miseric�rdia,16,4.5,4,2.0,1.0,50.0,2.0,38.711871,-9.14367,2016-06-02 11:21:08.658609
7592,9852660,50722391,Entire home/apt,,Santa Maria Maior,4,5.0,2,1.0,1.0,69.0,3.0,38.711375,-9.12804,2016-06-02 13:45:15.883218
7593,9852871,26294441,Entire home/apt,,S�o Vicente,19,4.5,2,1.0,1.0,46.0,2.0,38.720077,-9.119743,2016-06-02 14:15:49.576035
