,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
194,11477298,60397399,Entire home/apt,,,2,,4,1.0,1.0,115.0,,34.137168,-116.311073,2016-05-27 02:14:59.754358
195,11573332,52697989,Private room,,,19,5.0,2,1.0,2.0,46.0,1.0,34.127292,-116.318504,2016-05-27 02:21:23.670764
196,11642083,1680313,Entire home/apt,,,38,4.5,4,0.0,1.0,59.0,1.0,34.128027,-116.272297,2016-05-27 02:13:46.213977
197,11698125,1717964,Shared room,,,3,5.0,4,1.0,1.0,125.0,1.0,34.156762,-116.361403,2016-05-27 02:22:06.197506
198,11733221,3794463,Entire home/apt,,,7,5.0,5,3.0,,150.0,2.0,34.127378,-116.323228,2016-05-27 02:22:15.698250
199,11895120,63443909,Entire home/apt,,,13,5.0,4,2.0,1.0,95.0,1.0,34.12987,-116.308616,2016-05-27 02:16:50.683532
200,11966181,5026860,Private room,,,5,5.0,2,1.0,1.0,65.0,2.0,34.120798,-116.326075,2016-05-27 02:12:35.754467
201,12011865,59638054,Shared room,,,6,5.0,16,1.0,,15.0,1.0,34.151469,-116.238206,2016-05-27 02:23:53.997204
202,12091447,6674003,Entire home/apt,,,0,,6,3.0,2.0,250.0,2.0,34.117799,-116.322857,2016-05-27 02:15:19.439583
203,12105768,64912421,Private room,,,4,5.0,6,1.0,,40.0,1.0,34.180832,-116.298796,2016-05-27 02:13:16.138258
204,12137389,44795894,Entire home/apt,,,10,5.0,8,3.0,2.0,98.0,,34.131873,-116.307621,2016-05-27 02:20:57.424117
205,12175912,64781808,Private room,,,3,5.0,1,1.0,1.0,30.0,1.0,34.133626,-116.391021,2016-05-27 02:13:25.310418
206,12325663,42317372,Entire home/apt,,,0,,10,3.0,,190.0,2.0,34.110929,-116.323798,2016-05-27 02:18:44.555644
207,12381394,11489390,Private room,,,10,5.0,2,1.0,1.0,42.0,1.0,34.147071,-116.303321,2016-05-27 02:14:16.065946
208,12456106,7859989,Entire home/apt,,,5,5.0,6,1.0,1.0,135.0,2.0,34.135121,-116.314733,2016-05-27 02:15:56.410273
209,12466439,67465595,Private room,,,4,5.0,2,1.0,1.0,50.0,1.0,34.159571,-116.370095,2016-05-27 02:16:04.505894
210,12469735,52697989,Private room,,,2,,2,1.0,1.0,45.0,1.0,34.126365,-116.321239,2016-05-27 02:18:21.515589
211,12494785,32538343,Shared room,,,0,,6,1.0,2.0,100.0,2.0,33.831246,-116.463644,2016-05-27 02:24:41.293641
212,12587558,68275068,Private room,,,1,,4,1.0,1.0,149.0,2.0,34.148963,-116.307496,2016-05-27 02:17:01.219798
213,12601180,38132172,Shared room,,,0,,4,1.0,,33.0,1.0,33.919218,-116.408659,2016-05-27 02:21:51.628364
214,12623902,3012401,Entire home/apt,,,0,,16,5.0,5.0,355.0,2.0,33.955316,-116.473124,2016-05-27 02:21:07.298126
215,12851595,5026860,Entire home/apt,,,0,,6,3.0,2.0,120.0,1.0,34.120855,-116.325509,2016-05-27 02:16:38.300628
216,12872569,64912421,Private room,,,1,,3,1.0,,45.0,1.0,34.179969,-116.298641,2016-05-27 02:13:05.081499
217,12907028,70738579,Private room,,,0,,4,1.0,1.0,228.0,2.0,34.096549,-116.400712,2016-05-27 02:13:27.591720
218,12926766,5026907,Private room,,,1,,6,1.0,1.0,75.0,1.0,34.197411,-116.400001,2016-05-27 02:11:11.108076
219,12934224,4871252,Entire home/apt,,,1,,2,1.0,1.0,145.0,1.0,34.139909,-116.326124,2016-05-27 02:23:05.080189
220,12936272,71048006,Entire home/apt,,,0,,2,1.0,1.0,225.0,1.0,34.133425,-116.309156,2016-05-27 02:11:46.188467
221,12950524,16495801,Entire home/apt,,,1,,6,3.0,2.0,175.0,2.0,34.107294,-116.321485,2016-05-27 02:15:29.067591
222,12956245,34237211,Entire home/apt,,,0,,4,2.0,2.0,99.0,2.0,34.122272,-116.319842,2016-05-27 02:14:07.562202
223,12974051,4871252,Entire home/apt,,,0,,2,1.0,1.0,165.0,1.0,34.138799,-116.324756,2016-05-27 02:19:48.095458
224,13017349,69447267,Entire home/apt,,,0,,5,2.0,2.0,99.0,1.0,34.122286,-116.331368,2016-05-27 02:11:55.107185
225,13063569,7859989,Entire home/apt,,,0,,15,2.0,1.0,250.0,1.0,34.163677,-116.254538,2016-05-27 02:22:20.775089
226,13063804,7859989,Entire home/apt,,,0,,6,1.0,1.0,250.0,1.0,34.13157,-116.330876,2016-05-27 02:25:03.748226
