id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10207573,CLOSE TO RAMBLAS! Great place!!!,52445046,Meri,Ciutat Vella,el Raval,41.376581289455764,2.1740791728741238,Private room,30,2,1,2016-09-24,0.39,1,281
13853992,Double Room in beautiful flat with ideal location,41086082,Victor,Ciutat Vella,el Raval,41.384439386439006,2.1654779684610417,Private room,50,2,7,2016-10-10,1.44,1,46
8249976,Barcelona's Heart,43505134,Baleska Y Joel,Ciutat Vella,el Raval,41.379564514792385,2.172938648868724,Private room,32,2,35,2016-11-28,2.38,2,357
5028665,GREAT LOCATION RAMBLAS WIFI,16583473,Vinnie,Ciutat Vella,el Raval,41.381998235045714,2.1715434904779904,Private room,59,1,54,2016-11-27,2.81,2,57
3464152,"Sunny-room, L'Rambla, Pl'Catalunya",3977734,Carlos,Ciutat Vella,el Raval,41.384114641822,2.1676953683039404,Private room,29,2,88,2016-11-09,3.00,9,250
15842669,Big double bedroom in the heart of Barcelona,41730645,Silvia,Ciutat Vella,el Raval,41.38435717953201,2.1667783873708344,Private room,35,1,0,,,1,15
12912909,Big Double Room AirCond and Fridge,70794802,Joanna,Ciutat Vella,el Raval,41.38415044964679,2.166661287036388,Private room,50,1,14,2016-09-14,2.49,2,0
7144928,Double Room in Hip Neighborhood,36948378,Freddie,Ciutat Vella,el Raval,41.384787070341886,2.166181780636488,Private room,70,2,56,2016-11-14,3.22,2,78
11788085,Habitación en el corazón de BCN,62509390,Sandra,Ciutat Vella,el Raval,41.37861769653366,2.1687446700054887,Private room,40,2,11,2016-10-10,1.32,1,51
14957092,Private Room with Private bathroom - City Center,94060973,Marco,Ciutat Vella,el Raval,41.37809368523833,2.1730106442271455,Private room,32,1,2,2016-10-23,0.94,1,315
3051685,OLD TOWN MOROCCAN ROOM,2054540,Stefani,Ciutat Vella,el Raval,41.37822845798831,2.167101440997474,Private room,50,2,9,2016-10-24,1.32,1,39
5216068,Shinny flat right in the center!,21204534,Marc,Ciutat Vella,el Raval,41.377561320903204,2.1746455745430002,Private room,40,2,1,2015-08-21,0.06,1,0
